kode_ba;kode_akun;kode_kab;blokir;kontrak;realisasi;bulan;tahun
'025;51;1311;0;0;475524187;Juli;2023
'025;52;1306;0;0;838710450;Juli;2023
'025;52;1311;0;0;277601756;Juli;2023
'025;53;1306;0;0;0;Juli;2023
'025;53;1311;0;0;8000000;Juli;2023
'029;51;1306;0;0;429361246;Juli;2023
'029;52;1306;30315000;0;435360791;Juli;2023
'029;53;1306;0;55999373;0;Juli;2023
'032;51;1311;0;0;131558388;Juli;2023
'032;52;1311;298165000;231266560;423998504;Juli;2023
'032;53;1311;0;0;0;Juli;2023
'054;51;1306;0;0;275645744;Juli;2023
'054;51;1311;0;0;216721815;Juli;2023
'054;52;1306;753022000;0;1505294654;Juli;2023
'054;52;1311;689246000;0;481821185;Juli;2023
'056;51;1306;0;0;130605978;Juli;2023
'056;51;1311;0;0;82585400;Juli;2023
'056;52;1306;69135000;0;201623710;Juli;2023
'056;52;1311;0;0;172487060;Juli;2023
'056;53;1306;0;418806000;251283600;Juli;2023
'056;53;1311;0;1320248000;0;Juli;2023
'060;51;1306;0;0;3288811137;Juli;2023
'060;51;1311;0;0;1434964246;Juli;2023
'060;52;1306;0;801767695;1562803251;Juli;2023
'060;52;1311;0;594082500;524464364;Juli;2023
'060;53;1306;0;0;5431000;Juli;2023
'060;53;1311;0;1122406740;0;Juli;2023
'075;51;1306;0;0;82982268;Juli;2023
'075;52;1306;26380000;0;39891100;Juli;2023
'075;53;1306;0;0;0;Juli;2023
'076;51;1306;0;0;89304958;Juli;2023
'076;51;1311;0;0;92912084;Juli;2023
'076;52;1306;0;0;2504881925;Juli;2023
'076;52;1311;0;0;604811554;Juli;2023
'076;53;1306;0;0;0;Juli;2023
'076;53;1311;0;0;0;Juli;2023
115;51;1306;0;0;71081973;Juli;2023
115;52;1306;93398000;0;1273981634;Juli;2023
115;53;1306;36036000;0;0;Juli;2023
999;61;1306;0;0;54265609300;Juli;2023
999;61;1311;0;0;0;Juli;2023
999;62;1306;0;0;50977419000;Juli;2023
999;62;1311;0;0;61761088000;Juli;2023
999;63;1306;0;0;6966717875;Juli;2023
999;63;1311;0;0;13445340750;Juli;2023
999;64;1311;0;0;0;Juli;2023
999;65;1306;0;0;48744995000;Juli;2023
999;65;1311;0;0;2797700000;Juli;2023
999;66;1306;0;0;22394515550;Juli;2023
999;66;1311;0;0;2869155100;Juli;2023
'005;51;1306;0;0;415876864;Agustus;2023
'005;52;1306;0;23333360;150951084;Agustus;2023
'005;53;1306;0;0;27945574;Agustus;2023
'006;51;1306;0;0;327485983;Agustus;2023
'006;52;1306;0;0;195452750;Agustus;2023
'006;53;1306;0;0;0;Agustus;2023
'013;51;1306;0;0;405850035;Agustus;2023
'013;52;1306;0;2768451165;2399585928;Agustus;2023
'013;53;1306;0;0;179317725;Agustus;2023
'015;51;1306;0;0;60421000;Agustus;2023
'015;52;1306;0;0;531304959;Agustus;2023
'015;53;1306;0;0;26328890;Agustus;2023
'022;51;1306;0;0;609170194;Agustus;2023
'022;52;1306;0;0;809124470;Agustus;2023
'022;53;1306;0;11122984683;9865119217;Agustus;2023
'023;51;1306;0;0;818169787;Agustus;2023
'023;52;1306;0;0;921950285;Agustus;2023
'023;53;1306;0;0;0;Agustus;2023
'025;51;1306;0;0;2126363274;Agustus;2023
'025;51;1311;0;0;670804119;Agustus;2023
'025;52;1306;0;0;569567500;Agustus;2023
'025;52;1311;0;0;205607588;Agustus;2023
'025;53;1306;0;0;10000000;Agustus;2023
'025;53;1311;0;0;0;Agustus;2023
'029;51;1306;0;0;406928126;Agustus;2023
'029;52;1306;30315000;0;435979385;Agustus;2023
'029;53;1306;0;55999373;1980000;Agustus;2023
'032;51;1311;0;0;138829937;Agustus;2023
'032;52;1311;298165000;231266560;504606976;Agustus;2023
'032;53;1311;0;0;0;Agustus;2023
'054;51;1306;0;0;256811046;Agustus;2023
'054;51;1311;0;0;176997122;Agustus;2023
'054;52;1306;753022000;0;1628251312;Agustus;2023
'054;52;1311;689246000;0;698051091;Agustus;2023
'056;51;1306;0;0;129054657;Agustus;2023
'056;51;1311;0;0;73502828;Agustus;2023
'056;52;1306;69135000;0;371720839;Agustus;2023
'056;52;1311;0;0;228070878;Agustus;2023
'056;53;1306;0;418806000;18975000;Agustus;2023
'056;53;1311;0;1320248000;330062000;Agustus;2023
'060;51;1306;0;0;3260400961;Agustus;2023
'060;51;1311;0;0;1435262201;Agustus;2023
'060;52;1306;0;801767695;929361193;Agustus;2023
'060;52;1311;0;594082500;481239131;Agustus;2023
'060;53;1306;0;0;0;Agustus;2023
'060;53;1311;0;1122406740;0;Agustus;2023
'075;51;1306;0;0;83019268;Agustus;2023
'075;52;1306;26380000;0;55682936;Agustus;2023
'075;53;1306;0;0;0;Agustus;2023
'076;51;1306;0;0;150148280;Agustus;2023
'076;51;1311;0;0;153108644;Agustus;2023
'076;52;1306;0;0;3074357061;Agustus;2023
'076;52;1311;0;0;604174306;Agustus;2023
'076;53;1306;0;0;0;Agustus;2023
'076;53;1311;0;0;0;Agustus;2023
115;51;1306;0;0;84934665;Agustus;2023
115;52;1306;93398000;0;858404900;Agustus;2023
115;53;1306;36036000;0;0;Agustus;2023
999;61;1306;0;0;22643626500;Agustus;2023
999;61;1311;0;0;1695928750;Agustus;2023
999;62;1306;0;0;193498574000;Agustus;2023
999;62;1311;0;0;26108062000;Agustus;2023
999;63;1306;0;0;15779225000;Agustus;2023
999;63;1311;0;0;3326750000;Agustus;2023
999;64;1311;0;0;4971883500;Agustus;2023
999;65;1306;0;0;9491114600;Agustus;2023
999;65;1311;0;0;9368149800;Agustus;2023
999;66;1306;0;0;33934510200;Agustus;2023
999;66;1311;0;0;4460437169;Agustus;2023
